"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
Chad,7258,190,4874,2194,421.0,11.0,191341,11110.0,17223093,Africa,127.0
Channel Islands,56437,147,52513,3777,319619.0,833.0,1221372,6916976.0,176576,Europe,21390.0
Chile,3301747,43879,2503308,754560,170245.0,2262.0,34097635,1758150.0,19394046,South America,38907.0
China,115466,4636,103600,7230,80.0,3.0,160000000,111163.0,1439323776,Asia,5.0
Colombia,6076819,139297,5908393,29129,117311.0,2689.0,33516825,647029.0,51801132,South America,562.0
Congo,24049,378,20178,3493,4184.0,66.0,347815,60512.0,5747873,Africa,608.0
Cook Islands,338,,95,243,19214.0,,3092,175772.0,17591,Australia/Oceania,13814.0
Costa Rica,822935,8160,718278,96497,159086.0,1577.0,3801529,734896.0,5172881,North America,18654.0
Croatia,1073386,15336,1048220,9830,264225.0,3775.0,4583892,1128372.0,4062396,Europe,2420.0
Cuba,1076785,8503,1065697,2585,95165.0,751.0,12920253,1141879.0,11314908,North America,228.0
Curaçao,39459,265,38760,434,238814.0,1604.0,494095,2990365.0,165229,North America,2627.0
Cyprus,353002,902,124370,227730,288815.0,738.0,9477138,7753897.0,1222242,Asia,186322.0
Czechia,3683231,39149,3572859,71223,342861.0,3644.0,53071895,4940310.0,10742625,Europe,6630.0
DRC,86315,1335,50930,34050,917.0,14.0,846704,8992.0,94166412,Africa,362.0
Denmark,2809450,5175,2612897,191378,482165.0,888.0,126275681,21671744.0,5826743,Europe,32845.0
Djibouti,15565,189,15362,14,15376.0,187.0,289923,286394.0,1012321,Africa,14.0
Dominica,11502,62,11127,313,159111.0,858.0,173397,2398664.0,72289,North America,4330.0
Dominican Republic,576641,4374,571897,370,52269.0,396.0,3167036,287075.0,11032096,North America,34.0
Ecuador,843760,35316,,,46625.0,1952.0,2470170,136499.0,18096553,South America,20145.0
Egypt,495373,24277,424831,46265,4691.0,230.0,3693367,34975.0,105600932,Africa,438.0
El Salvador,156364,4098,132410,19856,23903.0,626.0,1758939,268884.0,6541626,North America,3035.0
Equatorial Guinea,15895,183,15677,35,10733.0,124.0,290997,196496.0,1480929,Africa,24.0
Eritrea,9721,103,9616,2,2678.0,28.0,23693,6528.0,3629512,Africa,0.6
Estonia,531164,2353,430909,97902,399959.0,1772.0,3174604,2390432.0,1328046,Europe,73719.0
Eswatini,69435,1392,68010,33,58818.0,1179.0,486294,411938.0,1180502,Africa,28.0
Ethiopia,469184,7486,421472,40226,3917.0,62.0,4567310,38130.0,119781264,Africa,336.0
